id,legalName,category,RoadNameAddress,telephone,SignatureFoods,AdministrativeNeighborhood
1,매주육일,한식,전북 군산시 궁포3로 13,063-442-0062,이베리코 돼지고기,조촌동
2,명륜진사갈비조촌점,한식,전북 군산시 진포로 211,063-445-8500,숯불돼지갈비,경암동
3,보배밥상,한식,전북 군산시 남수송4길 8-6,063-461-6692,"더덕제육쌈밥, 생선구이",수송동
4,가시리,한식,전북 군산시 미원3길 13,063-446-4613,"생선탕, 생선찜, 생선회",흥남동
5,갈비스토리,한식,전북 군산시 하나운1길 15,063-442-2832,돼지갈비,나운1동
6,어시장활어회직거래판매장,한식,전북 군산시 신평길 20,063-471-8844,"생선회, 생선탕, 킹크랩찜",수송동
7,라라코스트수송점,양식,전북 군산시 월명로 254,063-466-3230,"스테이크, 필라프",수송동
8,남원용담골추어탕,한식,전북 군산시 수송로 315,063-467-7952,"추어탕, 코다리",수송동
9,아리랑,한식,전북 군산시 해망로 224,063-442-1207,"흰찰쌀보리비빔밥, 황금박대정식",월명동
10,수원성,한식,전북 군산시 월명로 281,063-453-0002,"갈비, 갈비탕",수송동
11,화심순두부군산점,한식,전북 군산시 미장서로 40,063-910-0051,순두부,수송동
12,금송,한식,전북 군산시 남수송6길 7,063-464-6038,"생선회,생선탕,물회",수송동
13,함흥관,한식,전북 군산시 해망로 550,063-466-0038,"냉면, 돼지갈비",소룡동
14,명륜진사갈비군산본점,한식,전북 군산시 문화로 95,063-466-3621,갈비,수송동
15,전주우족설렁탕,한식,전북 군산시 대학로 88,063-445-9502,"우족탕, 설렁탕",삼학동
16,압강옥,한식,전북 군산시 삼수길 46,063-452-2777,"쇠고기전골,냉면,갈비구이",개정동
17,남산식당,한식,전북 군산시 흥남2길 60,063-442-4442,"꽃등심,안창살,육회, 삼겹살",흥남동
18,신선가든,한식,전북 군산시 회현면 대위안길 45,063-466-6162,닭요리,회현면
19,고래면옥,한식,전북 군산시 나운5길 8,063-468-1616,"냉면,버섯전골,삼겹살,갈비,한우",나운2동
20,계곡가든,한식,전북 군산시 개정면 금강로 470,063-453-0608,"꽃게장백반,꽃게찜, 꽃게탕, 야채찜",개정동
21,사골뚝배기,한식,전라북도 군산시 거석길 29 (신창동),063-445-1107,한우곰탕,월명동
22,고래설렁탕,한식,전북 군산시 공단대로 408,063-468-0606,"설렁탕, 도가니찜, 꼬리찜",나운2동
23,지미원,한식,전북 군산시 부곡1길 6,063-463-3900,궁중한정식,나포면
24,바다회집현대코아점,한식,전북 군산시 문화안길 11,063-466-1197,"회정식, 해물탕",신풍동
25,삼미정,한식,전북 군산시 칠성5길 159,063-465-0775,"생선탕,생선찜",소룡동
26,쌍용반점,중식,전북 군산시 내항2길 121,063-443-1259,해물짬뽕,해신동
27,군산한우촌,한식,전북 군산시 대학로 649,063-465-6969,한우전문,나운3동
28,궁전갈치찜,한식,전북 군산시 구영6길 71,063-445-7770,갈치찜,중앙동
29,신고궁한정식,한식,전북 군산시 조촌1길 10,063-451-0111,한정식,조촌동
30,한소끔,한식,전북 군산시 백토로 284-8,063-462-8181,해물요리,나운3동
31,미향,중식,전북 군산시 소룡길 52,063-465-1910,"생선회, 생선찜, 생선탕",소룡동
32,금강해물칼국수,한식,전북 군산시 성산면 철새로 31,063-453-8858,"칼국수,돈가스",성산면
33,모산방,한식,전북 군산시 부원로 97-9,063-463-4411,퓨전한정식,미성동
34,신가네칼국수,한식,전북 군산시 성산면 철새로 31,063-453-6333,"칼국수, 만두",성산면
35,새만금횟집,한식,전라북도 군산시 비응안7길 13,063-464-1001,"생선회,생선찜,생선탕",소룡동
36,웰미가수송점,한식,전북 군산시 수송1길 17,063-462-0095,콩나물국밥,수송동
37,해송,한식,전북 군산시 서수송1길 12-5,063-466-0947,"생선회,생선찜,생선탕",수송동
38,취향,중식,전북 군산시 새만금북로 247,063-468-1592,한우고기,소룡동
39,조선화로집 군산수송점,한식,전북 군산시 월명로 255,063-467-6067,꽃갈비살,수송동
40,등대로,한식,전북 군산시 비응로 71,063-446-9500,"해물샤브샤브,생선탕,퓨전일식",소룡동
41,제주도횟집,한식,전북 군산시 동메1길 9-2,063-467-9548,"생선회,생선탕",수송동
42,온새미로,한식,전북 군산시 신설2길 5-6,063-463-6334,한정식,나운1동
43,장국명가,한식,전북 군산시 새터길 25,063-443-3680,묵은지보쌈,구암동
44,장가네,한식,전북 군산시 비응동로 67,063-466-2995,"바지락죽,조개모듬칼국수",소룡동
45,다빈회관,한식,전북 군산시 수송안길 25,063-466-7778,부대찌개전문,수송동
46,풍천장어타운,한식,전북 군산시 번영로 370,063-452-4422,풍천장어구이,개정동
47,가든바베큐,한식,전북 군산시 옥산면 대위로 128,063-464-5282,바베큐,옥산면
48,명인,한식,전북 군산시 임피면 서원석곡로 602,063-452-2459,"냉면, 갈비",임피면
49,콩뜰,한식,전북 군산시 구영7길 21-9,063-445-2218,두부보쌈,중앙동
50,에이뷔페(A뷔페),양식,전북 군산시 공단대로 179,063-464-5566,뷔페,수송동
51,스위트인디아,아시아음식,전북 군산시 우체통거리1길 14,063-445-8522,인도음식,월명동
52,마루벌돌구이군산점,한식,전북 군산시 축동안길 56,063-443-9233,"한우꽃등심,통삼겹살",수송동
53,군산떡갈비,한식,전북 군산시 미장6길 16,063-467-8877,떡갈비,수송동
54,현대옥(미장점),한식,전북 군산시 미장안7길 34,063-452-9885,콩나물국밥,수송동
55,궁전꽃게장본점,한식,전북 군산시 궁포1로 24-5,063-466-6677,궁전꽃게장정식,조촌동
56,풍천장어타운 경암점,한식,전북 군산시 진포로 199,063-452-4422,장어구이,경암동
57,샤브쌈주머니군산점,샤브샤브,전북 군산시 수송로 315,063-463-7016,소고시샤브,수송동
